Date,Price,Open,High,Low,Volume
2019-10-10,26583.75,26598.94,26599.87,26578.03,363.25
2019-09-10,26598.94,26817.3,26817.3,26489.42,243.01
2019-08-10,26809.92,26866.41,26896.09,26809.3,185.94
2019-07-10,26866.41,26987.45,27004.48,26835.58,151.71
2019-04-10,26987.45,27085.69,27089.38,26974.83,138.88
2019-03-10,27085.69,27314.87,27480.3,26575.54,151.19
2019-02-10,27314.87,27630.56,27645.4,27261.25,175.55
2019-09-30,27630.56,27675.04,27693.29,27113.91,194.80
2019-09-27,27675.04,27579.85,27675.04,27368.84,187.08
2019-09-26,27579.85,27283.05,27579.85,27281.38,183.46
2019-09-25,27283.05,27360.45,27371.59,27267.16,462.31
2019-09-24,27352.24,27635.68,27635.68,27352.24,154.03
2019-09-23,27650.28,27698.69,27704.62,27650.82,109.56
2019-09-20,27698.69,27667.31,27715.27,27576.27,177.41
2019-09-19,27646.15,27681.61,27698.44,27577.69,245.43
2019-09-18,27681.61,27407.04,27700.07,27386.36,378.80
2019-09-17,27407.04,27574.32,27646.96,27371.89,196.91
2019-09-16,27574.32,27779.0,27984.08,27538.33,268.35
2019-09-13,27779.0,27426.64,27779.73,27426.64,165.24
2019-12-09,27426.64,27153.53,27439.54,27142.88,115.30
2019-11-09,27153.53,27047.58,27157.66,27009.52,211.52
2019-10-09,27047.58,27089.84,27148.69,26977.36,364.22
2019-09-09,27089.84,27146.57,27231.76,27086.61,290.49
2019-06-09,27146.57,27252.09,27582.15,26895.56,311.26
2019-05-09,27252.09,27319.64,27319.64,27273.14,133.34
2019-04-09,27319.64,27590.44,27606.85,27283.67,250.45
2019-03-09,27586.79,27565.09,27606.28,27481.18,294.40
2019-02-09,27565.14,27540.42,27677.37,27463.76,111.50
2019-08-30,27525.81,27425.57,27602.39,27326.4,124.74
2019-08-29,27425.57,27607.02,27643.5,27423.36,116.07
2019-08-28,27607.02,27602.77,27626.37,27546.34,130.37
2019-08-27,27602.77,27691.85,27691.85,27475.64,183.65
2019-08-26,27691.85,27800.17,27851.37,27601.78,158.27
2019-08-23,27800.17,27629.66,27849.25,27624.27,339.62
2019-08-22,27629.66,27352.94,27650.89,27352.94,272.60
2019-08-21,27352.94,27058.03,27352.94,27043.28,363.97
2019-08-20,27058.62,27128.77,27217.88,26938.05,209.62
2019-08-19,27117.22,26928.8,27172.42,26928.35,250.74
2019-08-16,26925.29,27058.88,27203.58,26789.38,258.29
2019-08-15,27052.93,27083.11,27120.09,26895.43,233.09
2019-08-14,27083.11,27303.13,27307.6,27083.11,235.12
2019-09-08,27306.81,27424.92,27434.59,27306.81,220.80
2019-08-08,27424.92,27412.13,27450.92,27308.64,279.63
2019-07-08,27412.13,27527.4,27534.56,27404.26,128.92
2019-06-08,27527.4,27669.38,27706.47,27521.0,170.72
2019-05-08,27669.38,27630.46,27674.85,27584.11,280.69
2019-02-08,27630.46,27748.46,27792.77,27623.58,161.65
2019-01-08,27748.46,27718.26,27748.46,27615.46,97.36
2019-07-31,27718.26,27816.89,27902.51,27679.02,251.92
2019-07-30,27820.57,27950.36,28028.27,27814.13,155.18
2019-07-29,27950.36,27918.59,27976.14,27912.7,92.79
2019-07-26,27918.59,27990.61,28031.67,27900.57,130.85
2019-07-25,27990.61,28088.74,28103.69,27985.62,359.11
2019-07-24,28088.74,28144.87,28292.44,28070.65,157.77
2019-07-23,28144.87,27808.69,28144.87,27791.98,135.18
2019-07-22,27808.69,27919.5,28070.43,27808.69,285.76
2019-07-19,27919.5,27864.49,27948.24,27803.57,273.90
2019-07-18,27864.49,28046.02,28067.62,27864.49,175.36
2019-07-17,28042.8,28197.66,28251.78,28042.68,243.70
2019-07-16,28200.88,28340.98,28566.41,28138.5,216.68
2019-07-15,28341.03,28566.79,28577.41,28337.52,175.17
2019-12-07,28566.79,28712.9,28759.29,28563.31,100.37
2019-11-07,28712.9,29256.6,29281.36,28637.58,188.43
2019-10-07,29256.6,29318.02,29318.02,29010.33,188.74
2019-09-07,29318.85,29287.87,29318.85,28943.48,294.40
2019-08-07,29287.87,29270.95,29312.93,29216.7,216.29
2019-05-07,29270.95,29300.09,29318.09,29235.28,298.40
2019-04-07,29300.09,29375.25,29466.94,29300.09,180.40
2019-03-07,29375.25,29395.14,29458.03,29300.7,237.71
2019-02-07,29395.14,29614.61,29616.93,29395.14,200.68
2019-01-07,29614.61,29966.87,29966.88,29593.82,107.43
2019-06-28,29966.87,29749.35,29978.81,29650.45,248.36
2019-06-27,29749.35,29609.0,29756.79,29224.23,301.06
2019-06-26,29609.0,29668.68,29697.43,29588.54,394.02
2019-06-25,29668.68,29809.2,29814.38,29655.53,253.37
2019-06-24,29809.2,29851.29,29890.01,29694.91,573.53
2019-06-21,29851.29,29803.69,29890.61,29747.39,189.94
2019-06-20,29765.31,29774.81,29897.18,29695.62,275.47
2019-06-19,29772.72,29818.8,29891.86,29772.72,263.43
2019-06-18,29818.8,29936.33,29936.33,29797.11,2060.0
2019-06-17,29936.33,30046.7,30087.86,29933.25,2060.0
2019-06-14,30046.7,30029.23,30086.61,29994.53,145.28
2019-06-13,30029.15,30099.83,30150.05,30022.92,242.56
2019-11-06,30099.83,30322.19,30322.19,30055.56,233.43
2019-10-06,30322.19,30432.13,30459.43,30306.76,247.28
2019-07-06,30432.13,30529.9,30982.78,30380.98,280.00
2019-06-06,30527.07,30928.29,30948.16,30136.14,217.19
2019-03-06,30928.29,31069.37,31100.03,30867.74,254.81
2019-05-31,31069.37,31254.19,31257.75,30992.94,254.81
2019-05-30,31254.19,31307.0,31420.68,31078.83,254.81
2019-05-28,31307.0,30194.71,31307.0,30149.07,254.81
2019-05-27,30194.71,30881.29,30885.33,30188.62,254.81
2019-05-24,30881.29,31754.79,31809.29,30825.17,254.81
2019-05-23,31477.51,31145.15,31917.13,30902.23,254.81
2019-05-22,31145.15,30218.14,31194.69,30218.14,254.81
2019-05-21,30218.14,29373.4,30270.34,29361.88,254.81
2019-05-20,29373.4,28871.93,29438.95,28871.93,254.81
2019-05-17,28871.93,28438.19,28918.54,28438.19,254.81
2019-05-16,28438.19,28286.08,28452.0,28019.97,254.81
2019-05-15,28286.08,28422.76,28433.39,28282.3,254.81
2019-05-14,28422.76,28484.44,28535.31,28398.98,254.81
2019-05-13,28484.44,28847.98,28876.87,28542.51,254.81
2019-10-05,28847.81,28896.25,28896.25,28718.68,254.81
2019-09-05,28896.25,28966.41,29015.77,28881.83,254.81
2019-08-05,28966.41,29096.41,29115.3,28946.91,254.81
2019-07-05,29096.41,29196.87,29208.63,29091.6,254.81
2019-06-05,29196.87,29212.0,29212.0,29120.86,254.81
2019-03-05,29212.0,29171.73,29222.73,29143.73,254.81
2019-02-05,29171.73,29159.74,29195.7,29104.1,254.81
2019-04-30,29159.74,29521.06,29654.53,29154.78,254.81
2019-04-29,29521.06,29740.41,29813.37,29476.29,254.81
2019-04-26,29740.41,29919.19,30041.37,29740.41,254.81
2019-04-25,29919.77,29898.31,29986.11,29862.84,254.81
2019-04-24,29898.31,30080.73,30113.65,29854.02,254.81
2019-04-23,30076.0,30086.31,30131.93,30006.33,254.81
2019-04-18,30086.31,29999.25,30132.98,29980.89,254.81
2019-04-17,29970.86,29793.56,30033.22,29728.55,254.81
2019-04-16,29746.24,29495.91,29746.24,29495.91,254.81
2019-04-15,29495.91,29560.47,29630.86,29484.93,254.81
2019-12-04,29560.47,29347.62,29566.55,29312.86,254.81
2019-11-04,29347.62,29180.88,29347.62,29172.35,254.81
2019-10-04,29193.42,29158.57,29213.93,29124.02,254.81
2019-09-04,29149.46,29159.92,29160.11,28989.49,254.81
2019-08-04,29162.24,29616.38,29620.93,28780.02,254.81
2019-05-04,29616.38,29553.12,29628.4,29536.48,254.81
2019-04-04,29553.12,29626.14,29662.09,29548.65,254.81
2019-03-04,29668.73,30226.77,30243.71,29665.78,254.81
2019-02-04,30226.77,30527.88,30712.37,30212.62,254.81
2019-01-04,30527.5,31041.42,31041.42,30527.5,254.81
2019-03-29,31041.42,30833.5,31106.74,30786.33,254.81
2019-03-28,30833.5,30829.45,30896.86,30770.6,254.81
2019-03-27,30829.45,31038.86,31066.07,30811.14,254.81
2019-03-26,31038.86,31042.32,31094.87,31007.76,254.81
2019-03-25,31042.32,31139.35,31139.35,30996.82,254.81
2019-03-22,31139.35,30885.31,31156.19,30885.31,254.81
2019-03-21,30885.31,31066.1,31077.89,30856.23,254.81
2019-03-20,31040.84,31082.32,31104.9,31015.27,254.81
2019-03-19,31082.32,31125.39,31133.59,30965.22,254.81
2019-03-18,31125.39,31142.72,31156.47,31103.67,254.81
2019-03-15,31142.72,31175.88,31265.21,31102.1,254.81
2019-03-14,31210.79,31369.91,31390.78,31210.79,254.81
2019-03-13,31360.28,31313.36,31360.28,31057.66,254.81
2019-12-03,31313.36,31636.66,31645.24,31267.99,254.81
2019-11-03,31636.66,31718.23,31792.81,31636.66,254.81
2019-08-03,31924.51,32010.06,32043.49,31876.24,254.81
2019-07-03,32010.06,32121.74,32159.87,32041.74,254.81
2019-06-03,32121.74,32173.66,32173.66,32062.03,254.81
2019-05-03,32173.66,32129.94,32252.89,32126.42,254.81
2019-04-03,32129.94,31827.24,32129.94,31827.24,254.81
2019-01-03,31827.24,31718.7,31935.28,31708.89,254.81
2019-02-28,31718.7,32247.54,32953.54,31718.7,254.81
2019-02-27,32244.24,32473.82,32524.1,32185.06,254.81
2019-02-26,32473.82,32700.12,32745.92,32441.42,254.81
2019-02-25,32700.12,32516.05,32713.13,32516.05,254.81
2019-02-22,32515.52,32568.66,32617.13,32473.74,254.81
2019-02-21,32568.66,32646.16,32734.37,32568.66,254.81
2019-02-20,32614.06,32410.13,32617.94,32392.46,254.81
2019-02-19,32406.18,32190.07,32416.04,32157.29,254.81
2019-02-18,32190.07,32715.2,32738.95,31824.22,254.81
2019-02-15,32715.2,32457.63,32958.96,32457.63,254.81
2019-02-14,32453.69,32413.92,32496.18,32367.49,254.81
2019-02-13,32413.92,32463.38,32635.13,32267.37,254.81
2019-12-02,32462.31,31783.0,32462.69,31783.0,254.81
2019-11-02,31781.87,31529.92,31891.23,31515.44,254.81
2019-08-02,31529.92,31457.17,31845.63,31457.17,254.81
2019-07-02,31433.49,30817.22,31433.49,30817.22,254.81
2019-06-02,30821.8,30773.57,30825.2,30728.01,254.81
2019-05-02,30773.57,30745.05,30773.57,30521.42,254.81
2019-04-02,30745.05,30636.36,30754.09,30636.36,254.81
2019-01-02,30636.36,30557.2,30740.63,30557.2,254.81
2019-01-31,30557.2,31142.58,31142.58,30557.2,254.81
2019-01-30,31145.34,31178.71,31202.3,31143.37,254.81
2019-01-29,31178.71,31334.61,31334.61,31178.71,254.81
2019-01-28,31344.24,31422.75,31457.07,31241.99,254.81
2019-01-25,31426.63,30989.6,31428.64,30981.9,254.81
2019-01-24,30989.6,30886.32,30989.6,30866.96,254.81
2019-01-23,30878.56,30736.88,30880.67,30736.88,254.81
2019-01-22,30736.88,30732.72,30811.19,30485.34,254.81
2019-01-21,30732.72,31005.17,31041.06,30720.76,254.81
2019-01-18,31005.17,30566.38,31005.17,30526.18,254.81
2019-01-17,30583.21,30460.68,30597.02,30297.38,254.81
2019-01-16,30460.68,30138.06,30541.04,30001.87,254.81
2019-01-15,29964.79,29964.79,30172.4,29964.79,254.81
2019-01-14,29964.79,29830.7,29985.66,29689.73,254.81
2019-11-01,29830.7,29522.31,30438.21,29518.35,254.81
2019-10-01,29517.73,29336.8,29612.33,29329.62,254.81
2019-09-01,29336.8,30036.15,30084.28,29336.8,254.81
2019-08-01,30036.15,30397.63,30488.52,29999.95,254.81
2019-07-01,30400.28,30638.9,30709.65,30260.03,254.81
